LCT	ENSG00000115850
FADS1	ENSG00000149485
FADS2	ENSG00000134824
AS3MT	ENSG00000214435
DI2	ENSG00000211448
SelS	ENSG00000131871
GPX1	ENSG00000233276
GPX3	ENSG00000211445
CELF1	ENSG00000149187
SPS2	ENSG00000234494
SEPSECS	ENSG00000109618
HFE	ENSG00000010704
TRIP4	ENSG00000103671
TRPV6	ENSG00000165125
SLC30A9	ENSG00000014824
SLC39A8	ENSG00000138821
SLC22A4	ENSG00000197208
SLC22A5	ENSG00000197375
CREBRF	ENSG00000164463
ADH1B	ENSG00000196616
